Date,x1,x2,x3,x4,x5,y1
11/8/1999,1377.01,23.27,100.35,5.937,21.87,533
11/9/1999,1365.28,24.03,100.23,5.956,22.7,531
11/10/1999,1373.46,24.47,99.79,5.977,22.26,527
11/11/1999,1381.46,24.33,100.08,5.984,22.07,531
11/12/1999,1396.06,24.91,100.75,5.928,21.65,528
11/15/1999,1394.39,25.13,100.69,5.92,22.74,527
11/16/1999,1420.07,25.7,100.79,5.958,20.73,526
11/17/1999,1410.71,26.6,100.2,6.033,20.96,532
11/18/1999,1424.94,25.8,101,6.052,19.76,529
11/19/1999,1422,26.56,100.89,6.057,19.11,531
11/22/1999,1420.94,27.92,100.6,6.085,19.98,525
11/23/1999,1404.64,26.81,100.83,6.078,21,521
11/24/1999,1417.08,27.37,101.72,6.078,20.26,516
11/26/1999,1416.62,27.37,101.35,6.117,22.33,512
11/29/1999,1407.83,25.96,101.86,6.207,23.57,514
11/30/1999,1388.91,24.59,101.99,6.191,24.18,524
12/1/1999,1397.72,25,102.09,6.2,22.23,525
12/2/1999,1409.04,25.82,102.52,6.233,21.77,519
12/3/1999,1433.3,25.81,102.51,6.161,19.32,513
12/6/1999,1423.33,26.66,101.13,6.139,20.58,510
12/7/1999,1409.17,26.22,100.82,6.1,21.09,511
12/8/1999,1403.88,26.54,100.71,6.135,21.25,515
12/9/1999,1408.11,26.15,101.02,6.126,21.19,511
12/10/1999,1417.04,25.23,101.66,6.072,21.48,504
12/13/1999,1415.22,25.38,101.67,6.1,21.72,493
12/14/1999,1403.17,25.73,102.35,6.216,23.06,486
12/15/1999,1413.32,26.36,102.4,6.236,22.03,481
12/16/1999,1418.78,26.83,101.6,6.305,21.91,477
12/17/1999,1421.03,26.74,102.18,6.283,21.35,477
12/20/1999,1418.09,26.54,101.85,6.354,23.78,471
12/21/1999,1433.43,26.16,101.93,6.376,22.66,466
12/22/1999,1436.13,25.5,101.87,6.372,22.43,466
12/23/1999,1458.34,25.72,101.44,6.415,21.12,463
12/27/1999,1457.1,26.33,101.58,6.401,23.07,466
12/28/1999,1457.66,26.82,101.94,6.413,22.97,464
12/29/1999,1463.46,26.47,101.98,6.384,23.09,464
12/30/1999,1464.47,25.6,101.82,6.366,24.76,463
12/31/1999,1469.25,25.6,101.87,6.442,24.64,462
1/3/2000,1455.22,25.6,100.22,6.592,24.21,444
1/4/2000,1399.42,25.55,100.41,6.497,27.01,464
1/5/2000,1402.11,24.91,100.38,6.594,26.41,459
1/6/2000,1403.45,24.78,100.48,6.524,25.73,471
1/7/2000,1441.47,24.22,100.72,6.515,21.72,463
1/10/2000,1457.6,24.67,100.99,6.552,21.71,460
1/11/2000,1438.56,25.77,100.56,6.657,22.5,466
1/12/2000,1432.25,26.28,100.62,6.703,22.84,472
1/13/2000,1449.68,26.69,101,6.63,21.71,468
1/14/2000,1465.15,28.02,101.72,6.679,19.66,464
1/18/2000,1455.14,28.85,101.86,6.748,21.5,462
1/19/2000,1455.9,29.54,101.76,6.732,21.72,461
1/20/2000,1445.57,29.66,101.36,6.788,21.75,461
1/21/2000,1441.36,29.8,101.81,6.765,20.82,457
1/24/2000,1401.53,29.42,102.2,6.685,24.07,465
1/25/2000,1410.03,29.86,102.41,6.692,23.02,463
1/26/2000,1404.09,27.84,102.44,6.664,23.03,461
